External Library Name, Link to License, License Name, Binaries using the license, URL
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/LICENSE, BSD-2-Clause, ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe gfxstream_backend.dll android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu-img.exe emugl_common.dll ./emulator-check.exe android-emu-metrics.dll ./emulator.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./crashreport.exe ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-curl.dll android-emu-shared.dll ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
gtest, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master/LICENSE, BSD3, ./emulator.exe, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master
regex, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/NOTICE, BSD-4-Clause, ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe gfxstream_backend.dll android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu-img.exe emugl_common.dll ./emulator-check.exe ./emulator.exe android-emu-metrics.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./crashreport.exe ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-shared.dll ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/
Tink, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master/LICENSE, Apache-2.0, ./emulator-check.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master
flatbuffers, Apache-2.0, Apache-2.0, ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://github.com/google/flatbuffers
glib-2.0, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/COPYING, LGPL-2.1-only, emugl_common.dll ./emulator-check.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe gfxstream_backend.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-shared.dll ./qemu-img.exe glib2_windows_msvc-x86_64.dll ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe gfxstream_backend.dll android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu-img.exe emugl_common.dll ./emulator-check.exe ./emulator.exe android-emu-metrics.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./crashreport.exe ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-shared.dll ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, emugl_common.dll ./emulator-check.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe gfxstream_backend.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-shared.dll ./qemu-img.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
angle-renderer, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, lib64/gles_angle/libEGL.dll lib64/gles_angle/vulkan-1.dll lib64/gles_angle/vk_swiftshader.dll lib64/gles_angle/d3dcompiler_47.dll ./emulator.exe lib64/gles_angle/libGLESv2.dll, https://chromium.googlesource.com/angle/angle
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/LICENSE.md, MIT, emugl_common.dll ./emulator-check.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe gfxstream_backend.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-shared.dll ./qemu-img.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./crashreport.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
